1,What African country served as the setting for Tatooine in Star Wars?,Gabon,Ghana,Ethiopia,Tunisia,Tunisia
2,In what country can you visit Machu Picchu?,Columbia,Peru,Chile,Bolivia,Peru
3,What is the driest place on Earth?,Atacama Desert,Sahara Desert,"Mcmurdo, Antarctica","Kufra, Libya","Mcmurdo, Antarctica"
4,What country has the most natural lakes?,United States,Australia,Canada,India,Canada
5,What is the state capital of Oregon?,Hillsboro,Portland,Eugene,Salem,Salem
6,What river runs through Baghdad?,Jordan,Tigris,Euphrates,Karun,Tigris
7,What razor-thin country accounts for more than half of the western coastline of South America?,Chile,Peru,Bolivia,Ecuador,Chile
8,What is the oldest city in the world?,Athens,Damascus,Jerusalem,Jericho,Damascus
9,Which U.S. state has the most active volcanoes?,California,Washington,Hawaii,Alaska,Alaska
10,What is the flattest continent,Australia,Africa,South America,Antarctica,Australia
11,What is the largest country on the Arabian Peninsula?,Jordan,Saudi Arabia,Yemen,UAE,Saudi Arabia
12,What country has the most coastline?,China,USA,Russia,Canada,Canada
13,What country is home to Kangaroo Island?,Japan,Britain,Australia,France,Australia
14,What continent is located at Latitude 90° S Longitude 0.00° E?,Asia,Australia,Antarctica,South America,Antarctica
15,What is the largest country in South America?,Argentina,Peru,Columbia,Brazil,Brazil
16,What is the tallest mountain in the world?,Qogir,Mount Kilamanjaro,Aconcagua,Mount Everest,Mount Everest
17,Riyadh is the capital of what Middle-Eastern country?,Yemen,Iraq,Syria,Saudi Arabia,Saudi Arabia
18,Which of these African nations is NOT landlocked?,Niger,Chad,Burkina Faso,Congo,Congo
19,What is the deepest point in Earth's oceans?,Eurasian Basin,Marina Trench,Java Trench,Tonga Trench,Marina Trench
20,What is the highest waterfall in Europe?,Triberg,Krimml,Kjelfossen,Rhine,Krimml
